xdm_path,xdm_title,xdm_type,cja_id,cja_name,cja_type
_id,Identifier,string,variables/adobe_identitynamespace_personid,Identity Namespace:Person ID,dimension
_id,Identifier,string,variables/adobe_identitynamespace,Identity Namespace,dimension
eventMergeId,ExperienceEvent merge ID,string,,,
eventType,Event Type,string,,,
producedBy,Produced By,string,,,
timestamp,Timestamp,string,variables/timestamp,Timestamp,dimension
commerce.billing.address._id,Coordinates ID,string,,,
commerce.billing.address._repo.createDate,,string,,,
commerce.billing.address._repo.modifyDate,,string,,,
commerce.billing.address._schema.description,Description,string,,,
commerce.billing.address._schema.elevation,Elevation,number,,,
commerce.billing.address._schema.latitude,Latitude,number,,,
commerce.billing.address._schema.longitude,Longitude,number,,,
commerce.billing.address.city,City,string,,,
commerce.billing.address.country,Country,string,,,
commerce.billing.address.countryCode,Country code,string,,,
commerce.billing.address.createdByBatchID,Created by batch identifier,string,,,
commerce.billing.address.dmaID,Designated market area,integer,,,
commerce.billing.address.label,Label,string,,,
commerce.billing.address.lastVerifiedDate,Last verified date,string,,,
commerce.billing.address.modifiedByBatchID,Modified by batch identifier,string,,,
commerce.billing.address.msaID,Metropolitan statistical area,integer,,,
commerce.billing.address.postOfficeBox,Post office box,string,,,
commerce.billing.address.postalCode,Postal code,string,,,
commerce.billing.address.primary,Primary,boolean,,,
commerce.billing.address.region,Region,string,,,
commerce.billing.address.repositoryCreatedBy,Created by user identifier,string,,,
commerce.billing.address.repositoryLastModifiedBy,Modified by user identifier,string,,,
commerce.billing.address.state,State,string,,,
commerce.billing.address.stateProvince,State or province,string,,,
commerce.billing.address.status,Status,string,,,
commerce.billing.address.statusReason,Status reason,string,,,
commerce.billing.address.street1,Street 1,string,,,
commerce.billing.address.street2,Street 2,string,,,
commerce.billing.address.street3,Street 3,string,,,
commerce.billing.address.street4,Street 4,string,,,
commerce.cart.cartID,Cart ID,string,,,
commerce.cart.cartSource,Cart Source,string,,,
commerce.cartAbandons.id,Unique Identifier,string,,,
commerce.cartAbandons.value,,number,,,
commerce.checkouts.id,Unique Identifier,string,,,
commerce.checkouts.value,,number,,,
commerce.commerceScope.environmentID,Environment ID,string,,,
commerce.commerceScope.storeCode,Store Code,string,,,
commerce.commerceScope.storeViewCode,Store View Code,string,,,
commerce.commerceScope.websiteCode,Website Code,string,,,
commerce.inStorePurchase.id,Unique Identifier,string,,,
commerce.inStorePurchase.value,,number,,,
commerce.instantPurchase.id,Unique Identifier,string,,,
commerce.instantPurchase.value,,number,,,
commerce.order.cancelDate,Cancel Date,string,,,
commerce.order.createdDate,Created Date,string,,,
commerce.order.currencyCode,Currency,string,,,
commerce.order.discountAmount,Discount Amount,number,,,
commerce.order.lastUpdatedDate,Last Updated Date,string,,,
commerce.order.orderType,Order Type,string,,,
commerce.order.payments,Payment List,array,,,
commerce.order.payments.currencyCode,Currency Code,string,,,
commerce.order.payments.paymentAmount,Payment Amount,number,,,
commerce.order.payments.paymentType,Payment Type,string,,,
commerce.order.payments.transactionID,Transaction ID,string,,,
commerce.order.priceTotal,Price Total,number,,,
commerce.order.purchaseID,Purchase ID,string,,,
commerce.order.purchaseOrderNumber,Purchase Order Number,string,,,
commerce.order.refundTotal,Total Amount Refunded,number,,,
commerce.order.refunds,Refunds List,array,,,
commerce.order.refunds.currencyCode,Currency Code,string,,,
commerce.order.refunds.refundAmount,Refund Amount,number,,,
commerce.order.refunds.refundPaymentType,Refund Payment Type,string,,,
commerce.order.refunds.refundReason,Refund Reason,string,,,
commerce.order.refunds.transactionID,Transaction ID,string,,,
commerce.order.returns.purchaseID,Order Purchase ID,string,,,
commerce.order.returns.returnID,Return ID,string,,,
commerce.order.returns.returnStatus,Return Status,string,,,
commerce.order.taxAmount,Tax Amount,number,,,
commerce.productListAdds.id,Unique Identifier,string,,,
commerce.productListAdds.value,,number,,,
commerce.productListOpens.id,Unique Identifier,string,,,
commerce.productListOpens.value,,number,,,
commerce.productListRemovals.id,Unique Identifier,string,,,
commerce.productListRemovals.value,,number,,,
commerce.productListReopens.id,Unique Identifier,string,,,
commerce.productListReopens.value,,number,,,
commerce.productListViews.id,Unique Identifier,string,,,
commerce.productListViews.value,,number,,,
commerce.productViews.id,Unique Identifier,string,,,
commerce.productViews.value,,number,,,
commerce.promotionID,Promotion ID,string,,,
commerce.purchases.id,Unique Identifier,string,,,
commerce.purchases.value,,number,metrics/commerce.purchases.value,Commerce Purchases,metric
commerce.requisitionList.ID,Requisition List ID,string,,,
commerce.requisitionList.description,Requisition List Description,string,,,
commerce.requisitionList.name,Requisition List Name,string,,,
commerce.requisitionListAdds.id,Unique Identifier,string,,,
commerce.requisitionListAdds.value,,number,,,
commerce.requisitionListDeletes.id,Unique Identifier,string,,,
commerce.requisitionListDeletes.value,,number,,,
commerce.requisitionListOpens.id,Unique Identifier,string,,,
commerce.requisitionListOpens.value,,number,,,
commerce.requisitionListRemovals.id,Unique Identifier,string,,,
commerce.requisitionListRemovals.value,,number,,,
commerce.saveForLaters.id,Unique Identifier,string,,,
commerce.saveForLaters.value,,number,,,
commerce.shipping.address._id,Coordinates ID,string,,,
commerce.shipping.address._repo.createDate,,string,,,
commerce.shipping.address._repo.modifyDate,,string,,,
commerce.shipping.address._schema.description,Description,string,,,
commerce.shipping.address._schema.elevation,Elevation,number,,,
commerce.shipping.address._schema.latitude,Latitude,number,,,
commerce.shipping.address._schema.longitude,Longitude,number,,,
commerce.shipping.address.city,City,string,,,
commerce.shipping.address.country,Country,string,,,
commerce.shipping.address.countryCode,Country code,string,,,
commerce.shipping.address.createdByBatchID,Created by batch identifier,string,,,
commerce.shipping.address.dmaID,Designated market area,integer,,,
commerce.shipping.address.label,Label,string,,,
commerce.shipping.address.lastVerifiedDate,Last verified date,string,,,
commerce.shipping.address.modifiedByBatchID,Modified by batch identifier,string,,,
commerce.shipping.address.msaID,Metropolitan statistical area,integer,,,
commerce.shipping.address.postOfficeBox,Post office box,string,,,
commerce.shipping.address.postalCode,Postal code,string,,,
commerce.shipping.address.primary,Primary,boolean,,,
commerce.shipping.address.region,Region,string,,,
commerce.shipping.address.repositoryCreatedBy,Created by user identifier,string,,,
commerce.shipping.address.repositoryLastModifiedBy,Modified by user identifier,string,,,
commerce.shipping.address.state,State,string,,,
commerce.shipping.address.stateProvince,State or province,string,,,
commerce.shipping.address.status,Status,string,,,
commerce.shipping.address.statusReason,Status reason,string,,,
commerce.shipping.address.street1,Street 1,string,,,
commerce.shipping.address.street2,Street 2,string,,,
commerce.shipping.address.street3,Street 3,string,,,
commerce.shipping.address.street4,Street 4,string,,,
commerce.shipping.currencyCode,Currency code,string,,,
commerce.shipping.shipDate,Ship Date,string,,,
commerce.shipping.shippingAmount,Shipping Amount,number,,,
commerce.shipping.shippingDestination,Shipping Destination,string,,,
commerce.shipping.shippingMethod,Shipping Method,string,,,
commerce.shipping.trackingNumber,Tracking Number,number,,,
commerce.shipping.trackingURL,Tracking URL,string,,,
productListItems,Product List Items,array,,,
productListItems._id,Line item ID.,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar1,eVar1,string,,,
productListItems._experience.analytics.customDimensions.eVars.eVar10,eVar10,string,,,
